Franchise_Name, Mario_In_Title
1080 Snowboarding, No
Animal Crossing, No
Art Style, No
Bemani, No
Dance Dance Revolution, No
Donkey Kong, No
Donkey Kong Country, No
Dr. Mario, No
Dragon Quest, No
Electric Crayon, No
Excite, No
Excitebike, No
Formula 1, No
Game & Watch, No
Golf, No
Itadaki Street, No
Just Dance, No
Kirby, No
Luigi's Mansion, No
Mario, No
Mario & Luigi, No
Mario & Sonic at the Olympic Games, No
Mario Artist, No
Mario Baseball, No
Mario Bros., No
Mario Golf, No
Mario Kart, No
Mario Party, No
Mario RPG, No
Mario Strikers, No
Mario Tennis, No
Mario vs. Donkey Kong, No
Marvel vs. Capcom, No
Metal Gear, No
Metal Gear Solid, No
NBA, No
NBA Street, No
New Play Control, No
New Super Mario Bros., No
Nintendo Clocks, No
Nintendo Express, No
Nintendo Vs. Series, No
Paper Mario, No
Picross, No
Pilotwings, No
Pokémon, No
Pokémon Stadium, No
Punch-Out, No
Puzzle League, No
QIX, No
Scribblenauts, No
Sonic the Hedgehog, No
SSX, No
Super Mario, No
Super Mario Advance, No
Super Mario Bros., No
Super Mario Galaxy, No
Super Mario Land, No
Super Mario World, No
Super Smash Bros., No
Taiko no Tatsujin, No
Tetris, No
The Legend of Zelda, No
The Simpsons, No
Touch! Generations, No
Wario, No
Wario Land, No
WarioWare, No
Wii, No
Wii Fit, No
Wrecking Crew, No
Yoshi, No
